"CASE","QUESTNNR","MODE","STARTED","CA01_01","CA01_02","CA01_03","CA01_04","CA01_05","CA02_01","CA02_02","CA02_03","CA02_04","CA02_05","CA03_01","CA03_02","CA03_03","CA03_04","CA03_05","CA04_01","CA04_02","CA04_03","CA04_04","CA04_05","CA05_01","CA05_02","CA05_03","CA05_04","CA05_05","CA06_01","CA06_02","CA06_03","CA06_04","CA06_05","CA07","DD01_01","DD02","DD03","DD04","DD05","DD06","DD07","DD08","PK01","PK02","PK03","PK04","PK05","PK06","PK07","PK08","PK09","PK10","PK11","PK12","PK13","PK14","PK15","PK16","PK17","PK18","PK19","M1_RichtigFalsch","PM01_01","M2_RichtigFalsch","PM02_01","M3_RichtigFalsch","PM03_01","M4_RichtigFalsch","PM04_01","M5_RichtigFalsch","PM05_01","M6_RichtigFalsch","PM06_01","M7_RichtigFalsch","PM07_01","M8_RichtigFalsch","PM08_01","M9_RichtigFalsch","PM09_01","M10_RichtigFalsch","PM10_01","M11_RichtigFalsch","PM11_01","M12_RichtigFalsch","PM12_01","M13_RichtigFalsch","PM13_01","M14_RichtigFalsch","PM14_01","M15_RichtigFalsch","PM15_01","M16_RichtigFalsch","PM16_01","M17_RichtigFalsch","PM17_01","M18_RichtigFalsch","PM18_01","M19_RichtigFalsch","PM19_01","SC01","SC07","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DK","DL"
130,"base","interview","02-11-2025 14:11:26",2,2,2,2,1,4,3,5,3,2,2,4,3,2,2,5,2,5,4,5,2,3,2,2,4,5,1,5,1,4,4,"19",1,2,1,,,,2,4,5,4,5,4,3,4,3,2,2,5,3,5,2,3,3,5,2,2,1,"Noteworthy",1,"Noteworthy ",1,"Camera dara",1,"Camera ",1,"Payment data",1,"Payment data",1,"Locating data",1,"Locating data",,,,,1,"Contacts",1,"Contacts ",1,"Contact data",,,1,"Rights to data",1,"Rights to data",1,"Giving data away",,,,,2,1,5,12,15,21,18,11,17,10,13,29,40,38,23,25,77,15,52,70,29,11,395,,"02-11-2025 14:20:17",,1,0,20,20,0,0,1.04,,
134,"base","interview","02-11-2025 20:08:52",1,5,1,2,1,5,3,4,4,3,5,1,4,4,4,4,2,4,3,4,2,3,3,3,3,5,1,5,2,5,4,"20",1,1,1,,,,3,4,2,3,5,5,4,5,5,3,3,5,2,5,3,3,2,4,3,2,,,,,1,"camera",1,"camera",1,"payment",1,"payment",1,"location",1,"location",,,1,"collecting data?",1,"contacts",,,1,"contacts",1,"rights to data",1,"rights to data",,,1,"giving data away",1,"giving data away",,,2,2,11,13,52,42,13,14,17,13,22,35,37,22,66,29,92,11,13,17,7,,415,,"02-11-2025 20:17:38",,1,0,19,19,3,3,0.94,,
139,"base","interview","03-11-2025 12:49:34",2,4,1,1,1,5,1,5,2,1,4,2,2,2,2,5,1,4,3,4,2,4,1,1,1,5,1,5,1,5,4,"22",1,2,1,,,,2,4,,3,4,3,4,5,4,2,2,4,2,3,3,2,2,4,2,3,1,"Something worth taking note of",,,1,"Camera usage",1,"Camera usage",1,"Payment",2,"Money",1,"Location data",1,"Location data",,,,,1,"Contacts",,,1,"Contacts ",1,"Rights to data",,,,,1,"Exporting data",,,1,"Sending data",2,1,7,11,20,45,19,31,38,33,34,46,55,32,76,80,8,,20,15,10,16,494,,"03-11-2025 12:59:30",,1,0,20,20,1,1,0.83,,
140,"base","interview","03-11-2025 20:04:57",2,3,1,1,1,4,1,5,4,4,3,3,3,3,3,4,2,4,3,3,2,3,2,2,2,5,1,5,5,5,4,"19",1,2,1,,,,2,4,4,3,5,4,5,5,5,4,4,5,3,4,4,3,3,4,4,3,1,"important information ",1,"important information ",1,"camera",1,"camera usage ",1,"payment",1,"money usage ",1,"location",1,"location ",1,"collecting data",1,"collecting data ",1,"contacts",1,"contacts ",1,"contacts ",1,"rights to data ",1,"rights to data ",1,"rights to own data ",1,"giving data away ",1,"giving data away ",1,"giving data away ",2,1,153,20,24,34,14,43,28,10,25,31,43,18,24,46,23,18,28,30,8,57,508,,"03-11-2025 20:16:14",,1,0,20,20,0,0,0.78,,
142,"base","interview","04-11-2025 15:29:41",2,4,1,2,2,4,3,4,3,2,2,3,2,2,2,4,2,3,3,2,2,3,2,2,2,4,2,4,4,4,4,"20",1,2,1,,,,2,5,4,2,5,4,4,5,5,4,3,5,4,4,4,4,2,3,4,4,1,"Importance",2,"Idea ",,,1,"Camera usage",1,"Payment ",2,"Money",1,"Location ",1,"Localisation",2,"Notifications",2,"Notification",1,"Contacts",1,"Contacts",1,"Contacts",1,"Rights using data",1,"Rights",,,1,"Giving data away",1,"Giving data away",1,"Publishing data",2,1,35,15,33,29,13,17,20,16,137,30,46,24,57,30,15,38,41,41,7,192,717,,"04-11-2025 15:43:37",,1,0,20,20,0,0,0.72,,
143,"base","interview","04-11-2025 16:53:49",1,5,1,4,1,4,2,4,3,2,4,2,5,4,4,4,2,3,3,2,3,3,2,2,2,5,1,5,2,3,4,"21",1,2,1,,,,2,1,1,1,4,1,4,5,4,4,4,5,5,4,4,4,4,4,4,2,,,,,,,1,"Camera",,,1,"Pay",2,"GPS",1,"Location",2,"Notes",2,"Notes",1,"Contacts",1,"Contacts",1,"Contacts ",1,"Law",1,"Law",1,"Law",1,"Giving data away",1,"Giving data away",,,2,1,4,12,21,26,14,56,45,20,42,40,70,38,28,31,10,20,16,12,4,21,439,,"04-11-2025 17:02:40",,1,0,20,20,0,0,1.0,,
146,"base","interview","04-11-2025 19:27:27",2,3,1,1,1,5,1,4,3,3,5,1,2,3,2,3,3,4,4,3,4,3,2,2,3,4,2,4,3,2,4,"23",1,2,1,,,,2,5,5,4,4,5,4,5,5,2,4,4,4,3,4,4,4,5,2,3,1,"Pay attention",1,"Important",1,"Camera use",1,"Camera use",1,"Payment",2,"This wasn?t Part of the servey",1,"Location",1,"Location",,,2,"Don?t remember",1,"Contact",1,"Contact",2,"This was not part of the servey",1,"Data laws",1,"Data laws ",1,"Data laws",1,"Giving data away",,,1,"Giving Data away ",2,1,2,12,52,22,14,17,20,13,17,35,33,25,43,17,18,13,55,72,4,10,406,,"04-11-2025 19:35:41",,1,0,20,20,0,0,1.12,,
147,"base","interview","04-11-2025 20:46:56",2,2,2,2,2,4,2,4,4,2,4,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,"22",1,2,1,,,,2,2,2,2,4,4,2,5,4,2,2,4,4,4,2,4,2,4,2,2,,,,,,,2,"Photo ",1,"Payment ",,,1,"Location",1,"Location",,,,,1,"Contact",1,"Contact",1,"Contact",,,1,"Rights",,,,,,,,,2,1,29,14,27,22,16,16,16,14,15,54,63,26,7,30,7,7,12,9,7,10,401,,"04-11-2025 20:53:37",,1,0,20,20,2,1,1.3,,
148,"base","interview","05-11-2025 08:58:44",2,4,1,1,1,4,3,4,4,4,4,1,4,2,2,5,1,5,4,5,2,1,4,3,2,5,1,5,4,5,4,"19",1,2,1,,,,2,4,5,3,4,3,4,4,5,4,4,4,2,2,3,3,4,4,5,4,1,"Importance",1,"importance data",1,"camera usage",1,"camera usage",1,"payment data",1,"payment data",1,"location data",1,"location data",1,"writing down data",1,"writing down data",1,"contacts",,,,,1,"Rights to data",1,"rights to data",1,"rights to data",1,"Giving data away",1,"giving data away",1,"giving data away",2,1,20,11,15,16,9,9,11,9,16,36,28,30,23,18,45,17,20,27,10,192,532,,"05-11-2025 09:08:06",,1,0,20,20,0,0,1.09,,
149,"base","interview","05-11-2025 09:40:54",2,4,2,3,1,4,3,4,3,3,4,1,4,3,4,3,3,3,3,3,4,2,4,3,3,5,2,5,3,5,4,"20",1,2,1,,,,2,5,3,4,3,4,5,5,3,3,1,5,2,4,4,5,2,5,3,1,1,"paying attention ",1,"paying attention ",1,"camera",1,"camera",1,"payment",2,"money",1,"location",1,"location data",2,"giving away data",,,1,"contacts",,,1,"contacts",1,"rights of data",1,"rights",,,1,"giving away data",1,"sharing data",,,2,1,6,11,18,21,13,17,19,17,15,30,26,20,41,31,54,25,26,9,5,206,571,,"05-11-2025 09:51:04",,1,0,20,20,0,0,1.04,,
151,"base","interview","05-11-2025 16:56:38",1,5,2,2,2,5,1,5,2,2,2,4,2,2,2,4,1,5,4,3,1,4,2,2,2,5,1,5,1,2,4,"25",1,1,2,,4,,,5,3,4,5,3,5,4,5,1,2,5,1,5,3,3,4,1,1,2,1,"Important attention ",1,"Attention",1,"Camera / Photos",1,"Photos / Camera ",1,"Payment ",1,"Payment",1,"Location ",2,"Location Services ",,,,,1,"Contacts ",,,1,"Contact Information ",1,"Personal data rights ",1,"Data rights ",1,"Data rights",,,,,,,2,1,13,75923,48,68,182,26,515,68,61,160,218,26,605,57,37,12,46,28,6,16,525,,"06-11-2025 14:38:33",,1,0,20,20,0,0,0.51,,
152,"base","interview","05-11-2025 20:27:50",1,5,1,1,1,5,1,5,4,5,3,3,3,3,3,4,4,4,4,4,2,4,4,2,4,5,1,5,2,4,4,"24",1,1,4,,,4,,3,5,5,5,5,3,5,5,3,2,5,5,4,4,3,5,5,4,2,1,"Something is noteworthy",1,"something is noteworthy",1,"camera",1,"camera",1,"payment",2,"data",1,"location",1,"location data",1,"collecting data",,,1,"contacts",1,"contacts",1,"contacts details",1,"rights to data",1,"rights to data",1,"rights to data",1,"giving data away",1,"file sharing",,,2,2,55,22,157,41,20,26,23,25,35,88,59,61,201,23,34,47,31,21,124,,576,,"05-11-2025 20:46:03",,1,0,19,19,0,0,0.51,,
155,"base","interview","06-11-2025 10:48:48",1,5,1,1,1,3,3,4,3,5,2,4,2,2,2,3,4,3,4,4,2,4,1,1,1,5,1,5,4,5,4,"19",2,2,1,,,,2,4,2,2,5,4,5,4,5,3,5,3,3,5,4,4,4,4,4,2,2,"Warning",,,,,1,"Camera use",1,"Payment measures ",1,"Payment measures ",1,"Location ",1,"Location ",1,"Data collection ",2,"Edit data",1,"Contacts ",1,"Contacts ",1,"Contacts",1,"Data rights",1,"Data rights",1,"Data rights",1,"Data export",1,"Data exports ",,,2,1,13,16,19,20,11,13,12,12,13,28,35,22,34,29,19,24,39,25,3,7,394,,"06-11-2025 10:55:23",,1,0,20,20,0,0,1.18,,
156,"base","interview","06-11-2025 10:49:24",2,4,2,1,1,4,2,5,4,5,3,2,2,2,3,2,2,3,2,3,2,3,2,4,2,4,2,4,4,5,4,"19",2,2,1,,,,2,4,4,2,4,5,3,5,4,3,4,5,4,3,4,4,3,4,3,2,2,"warning",,,,,1,"camera",1,"payment ",1,"payment",1,"location ",1,"location",,,,,1,"contacts",1,"contacts",1,"contacts ",1,"rights",1,"rights",1,"Rights",2,"share contacts",2,"rights",,,2,1,38,26,17,30,14,19,15,12,16,42,178,24,124,47,31,24,116,18,4,12,479,,"06-11-2025 11:02:51",,1,0,20,20,4,4,0.83,,
157,"base","interview","06-11-2025 11:23:39",1,2,1,1,1,5,2,5,4,3,2,3,2,2,2,3,4,3,3,3,3,2,2,2,3,4,3,4,4,4,4,"32",2,1,4,,,2,,5,4,3,5,3,5,5,5,2,4,5,4,3,2,2,2,5,4,3,1,"noteworthy",1,"noteworthy",1,"camera usage",1,"camera usage",2,"wallet",2,"money",1,"data location",1,"data location",,,1,"data usage?",1,"contact",1,"contact",1,"contact",,,,,,,1,"data taking away",1,"data taking away",2,"data usage?",2,2,8,64,23,757,11,17,15,10,16,50,47,26,27,19,9,30,19,28,2,,399,,"06-11-2025 11:43:17",,1,0,19,19,0,0,1.03,,
163,"base","interview","06-11-2025 14:05:52",1,4,1,1,1,4,3,4,3,2,2,4,2,2,3,5,2,4,5,4,4,2,4,4,5,5,1,5,5,4,4,"21",1,2,1,,,,2,1,2,4,5,5,5,5,5,1,2,5,1,4,4,3,4,2,1,3,,,,,1,"Camera",1,"Camera",1,"Payments",1,"Payments",1,"Location data",1,"Location data",,,,,1,"Contacts",,,1,"Contacts",1,"Rights of data protection",1,"Rights for data protection",1,"Data rights",,,,,1,"Data constribution",2,1,74,11,17,39,11,50,29,15,22,34,41,42,38,27,22,,23,89,5,249,442,,"06-11-2025 14:19:50",,1,0,20,20,0,0,0.75,,
164,"base","interview","06-11-2025 14:08:27",1,5,1,1,2,5,2,4,3,3,2,1,3,2,1,3,1,5,1,4,2,5,2,1,2,5,1,5,1,3,4,,1,2,1,,,,2,4,4,3,5,3,2,5,5,2,2,5,1,4,4,3,3,5,5,3,1,"Important Message",1,"Important information",1,"Camera",1,"Camera",1,"Paying ",,,1,"Lacation",1,"Location",,,,,1,"Contacts",,,1,"Contacts",1,"Giving Rights away",1,"Giving Rights away",1,"Giving rights away",2,"Sent away",2,"Sent something away",1,"Sent away",2,1,10,15,11,19,13,20,17,8,20,41,49,31,92,43,17,46,11,60,5,181,667,,"06-11-2025 14:20:16",,1,0,20,20,1,1,0.93,,
165,"base","interview","06-11-2025 14:10:11",2,3,2,1,1,3,2,3,2,2,4,2,4,2,2,5,1,5,3,5,4,4,2,1,2,4,1,5,4,4,4,"20",1,2,1,,,,2,5,4,4,4,3,5,4,5,2,4,5,4,3,4,5,2,4,2,2,1,"Attention",1,"Something Noteworthy",1,"Camera",1,"Camera",1,"Payment ",1,"Payment ",1,"Location",1,"Location",,,2,"Something noteworthy",1,"Contacts",1,"Contacts ",1,"Contacts ",1,"Data Rights",1,"Right to Data ",,,1,"Data Exportation",,,,,2,1,4,11,12,46,15,18,16,13,23,32,65,29,31,12,15,13,11,23,13,,402,,"06-11-2025 14:16:53",,0,0,19,19,0,0,1.12,,
166,"base","interview","06-11-2025 14:18:16",1,4,1,1,1,3,3,4,4,5,2,4,2,3,3,5,1,3,5,5,1,5,1,2,2,5,1,5,3,3,4,"21",1,2,1,,,,2,4,4,5,4,3,2,5,5,1,2,5,1,4,3,3,3,4,3,4,1,"Important information",1,"Important information",1,"camera",1,"Camera",1,"Payment",,,1,"location",1,"location",,,,,1,"contacts",,,2,"Data",1,"Data Right",1,"Rights",1,"Data rights",1,"sending Data",1,"sending Data",1,"sending Data",2,1,138,24,17,69,12,25,21,16,22,49,48,40,91,23,12,82,103,116,6,260,564,,"06-11-2025 14:37:50",,1,0,20,20,0,0,0.64,,
167,"base","interview","06-11-2025 14:18:56",2,4,1,1,3,4,2,5,2,4,3,2,3,1,2,3,2,5,4,4,2,4,2,1,2,5,1,5,3,4,4,"24",2,1,4,,,4,,4,2,2,5,4,3,5,4,1,2,5,2,4,4,4,4,2,1,3,1,"Attention",,,,,1,"Camera ",1,"Payment",2,"I do not remember",1,"Location Data",1,"Location Data",,,,,1,"Contacts",,,1,"Contacts",1,"Rights of Data",1,"Rights of Data",1,"Law/Rights of Data",,,,,1,"Sharing Data",2,2,50,10,13,34,8,10,15,9,9,25,76,18,13,20,9,,18,13,2,,352,,"06-11-2025 14:24:49",,1,0,19,19,0,0,1.41,,
170,"base","interview","06-11-2025 16:34:00",1,5,1,1,1,4,2,3,3,4,2,4,2,2,2,3,3,3,4,2,2,4,3,3,3,5,1,5,3,4,4,"24",1,1,2,,2,,,5,2,5,5,3,3,5,5,3,4,5,2,3,3,4,3,3,4,3,1,"Noteworthy",,,1,"Camera usage",1,"Camera usage",1,"Payments",1,"Payments",1,"Location ",1,"Location",1,"Collecting data",1,"Collecting data",1,"Contacts ",,,1,"Contacts",1,"Rights data",1,"Data rights",1,"Data rights",1,"Giving out data",1,"Transferring data",1,"Transfer data",2,2,32,13,12,27,16,15,16,18,91,26,46,26,37,68,42,10,17,23,10,,397,,"06-11-2025 16:43:05",,1,0,19,19,0,0,0.9,,
171,"base","interview","06-11-2025 16:34:07",2,4,1,1,1,5,3,4,3,4,2,3,1,1,1,3,3,4,3,4,3,4,3,1,2,4,2,5,3,3,4,"20",1,1,1,,,,3,3,3,5,4,5,4,5,4,3,3,5,3,4,3,3,3,3,3,2,,,,,1,"Camera",1,"Camera ",1,"Payment ",,,1,"Location ",1,"Location ",1,"Collect data",1,"Collect data",1,"Contacts",,,1,"Contacts ",,,1,"Rights",1,"Rights ",,,,,,,2,1,32,13,13,41,13,21,22,13,32,40,39,36,20,25,59,10,13,18,6,5,427,,"06-11-2025 16:41:58",,1,0,20,20,9,9,1.07,,
174,"base","interview","06-11-2025 17:27:23",2,4,2,2,2,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,4,,1,1,4,,,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,11,26,12,8,5,6,4,5,24,23,9,,,,,,,10,,150,,"06-11-2025 17:29:53",,1,0,19,19,2,2,2.0,,
175,"base","interview","06-11-2025 17:53:42",1,4,1,1,1,5,1,5,4,3,4,3,3,3,3,3,3,3,5,3,2,3,2,2,3,5,1,5,1,5,4,"38",1,2,6,4,,,,4,5,5,5,5,2,5,5,2,2,5,5,2,2,3,2,2,3,3,1,"Alert",1,"Alert ",1,"Camera",1,"Camera",2,"Data",,,1,"Location",1,"Location data",,,,,1,"Contacts",1,"Contacts",,,,,1,"Rights to data",,,,,1,"Giving away data",1,"Giving away data",2,1,7,23,15,43,21,19,31,17,35,37,65,32,16,25,11,35,13,15,10,11,481,,"06-11-2025 18:01:43",,1,0,20,20,0,0,0.97,,
177,"base","interview","06-11-2025 18:16:30",1,4,1,1,1,5,2,3,3,5,3,3,2,3,4,5,2,5,5,5,2,5,2,2,2,5,1,5,1,1,4,"21",1,1,1,,,,2,3,3,5,4,3,5,5,3,3,3,5,1,4,4,2,1,2,4,2,2,"Alarming/warning",1,"Important ",1,"Camera usage",1,"Camera usage ",2,"Payment card",1,"Payment ",1,"Location ",1,"Sharing location ",1,"Data tracking ",1,"Data collection ",1,"Contacts",,,1,"Contacts ",1,"Data Rights ",,,,,,,1,"Date getting exported ",,,2,1,18,16,70,42,25,19,17,13,29,31,40,19,26,15,12,16,27,16,4,14,417,,"06-11-2025 18:24:19",,1,0,20,20,0,0,0.99,,
181,"base","interview","06-11-2025 21:34:00",1,5,2,1,1,4,3,3,2,1,5,1,5,1,1,4,2,5,5,1,2,4,2,5,2,5,1,4,3,3,4,"18",1,2,1,,,,2,3,4,2,4,5,3,5,5,2,3,2,1,4,4,5,4,4,2,1,1,"Important",1,"Important",,,1,"Camera",1,"Payments",,,1,"Location",1,"Location",,,,,,,,,,,2,"Data",,,,,,,,,,,2,1,5,25,20,44,15,14,13,13,28,36,40,31,273,121,6,29,39,5,13,26,451,,"06-11-2025 21:47:16",,1,0,20,20,9,8,1.01,,
187,"base","interview","08-11-2025 13:23:08",1,4,1,1,1,4,2,4,1,1,2,3,3,1,1,4,2,4,2,4,2,4,3,4,2,5,1,4,3,2,4,"19",1,2,1,,,,2,4,5,1,5,5,5,5,5,1,2,4,2,4,3,3,4,5,4,2,1,"Anything noteworthy",1,"Anything noteworthy",,,1,"camera",1,"payment",1,"payment",1,"location data",1,"location data",,,,,1,"contacts",,,1,"contacts",1,"rights to data",1,"rights to data",1,"rights to data",1,"data export",1,"export data",,,2,1,23,14,14,28,14,19,23,10,43,41,43,87,85,19,8,38,17,17,12,12,481,,"08-11-2025 13:32:35",,1,0,20,20,0,0,0.92,,
193,"base","interview","10-11-2025 11:13:21",1,5,1,1,1,4,3,4,3,2,5,2,4,2,4,5,1,4,3,3,2,4,2,2,2,4,2,4,2,4,4,"18",1,2,1,,,,2,3,4,1,4,2,3,4,4,1,3,4,4,4,1,1,1,2,4,4,1,"Something noteworthy ",2,"No idea",,,1,"Camera",,,2,"Money",1,"Location Data",1,"Location Data ",,,,,1,"Contacts",2,"Mail",,,,,,,,,,,1,"Data going away",,,2,1,3,14,10,19,14,12,29,10,13,26,32,17,24,21,,45,26,5,4,,324,,"10-11-2025 11:18:45",,0,0,19,19,4,4,1.39,,
195,"base","interview","10-11-2025 11:30:00",1,5,1,1,1,5,2,5,3,3,3,2,2,2,1,5,3,5,5,4,2,3,1,2,1,5,1,5,5,5,4,"21",1,2,1,,,,2,5,4,5,5,3,5,5,5,2,4,5,4,1,5,2,3,5,3,2,1,"Important/notification",2,"Notification ",1,"Camera ",1,"Camera ",1,"Payments ",1,"Payment ",1,"Location",1,"Location ",,,2,"No",1,"contacts",1,"Contact",,,1,"Rights of Data",,,1,"Rights of data ",1,"Giving away data",1,"Giving away data",,,2,1,2,17,31,21,13,16,15,10,17,26,30,20,60,28,5,20,18,16,7,111,483,,"10-11-2025 11:38:03","complete",1,0,20,20,0,0,1.19,,
198,"base","interview","11-11-2025 11:01:36",4,2,2,2,2,5,2,4,5,3,3,3,2,2,2,5,4,5,5,5,3,2,2,3,4,5,2,5,4,3,4,"21",2,2,1,,,,2,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,4,5,2,2,1,"To pay attention",1,"attention paying ",1,"Camera",1,"Camera",1,"Payment",1,"Payments",1,"Location",1,"Location",2,"Notes",2,"Notes",1,"Contacts",1,"Contacts",1,"Contacts",1,"Rights",1,"Rights",1,"Rights",2,"Portable Data",,,,,2,1,7,22,21,29,15,14,20,18,25,48,42,33,71,20,175,92,17,22,5,99,563,,"11-11-2025 11:14:51","complete",1,0,20,20,0,0,0.8,,
199,"base","interview","11-11-2025 12:42:03",2,4,2,1,1,4,2,4,3,3,2,4,2,2,2,4,3,3,5,4,2,4,2,2,1,5,1,5,5,5,4,"30",1,2,1,,,,2,4,4,1,5,4,4,5,5,2,3,1,5,2,3,4,2,2,4,2,1,"Noteworthy ",1,"Noteworthy ",,,1,"Using camera",1,"Payments ",1,"Payment ",1,"Located data",1,"Located data",,,2,"No idea ",,,1,"Contacts",,,1,"Rights of data",1,"Rights of data",,,,,1,"Give data away ",,,2,2,11,17,31,85,15545,30,36,19,47,43,70,23,64,22,19,75,23,17,6,,492,,"11-11-2025 17:11:46","complete",1,0,19,19,0,0,0.67,,
205,"base","interview","12-11-2025 10:12:37",1,5,1,1,1,4,2,4,3,4,3,2,3,1,4,2,4,3,4,2,5,2,4,1,2,5,1,4,4,3,4,"18",1,2,4,,,3,-9,4,5,5,4,3,5,5,5,3,3,5,3,4,3,2,4,2,2,4,1,"Noteworthy",1,"Noteworthy",1,"Camera",1,"Camera",2,"Purchase data",2,"Idk",1,"Location data",1,"Location data",2,"Data export",2,"Data export",1,"Contacts",1,"Contacts",2,"Idk",1,"Data rights",,,1,"Data rights",,,,,1,"Data export",2,1,20,21,18,28,17,21,23,15,16,137,82,43,17,23,16,30,63,22,6,8,480,,"12-11-2025 10:23:04","complete",1,0,20,20,1,1,0.89,,
213,"base","interview","12-11-2025 15:48:18",1,5,2,1,1,5,2,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,3,5,4,,2,1,4,,,3,,1,2,3,5,4,5,4,4,3,4,5,3,5,4,5,5,3,3,3,,,,,1,"Allowing Photograph",1,"Camera",1,"Payment",2,"Budget",1,"Location of Data",1,"Location of Data",2,"Sharing Data Out",2,"Don?t Remember",1,"Contacts",1,"Contacts",1,"Contacts",1,"Rights",1,"Rights",1,"Law",1,"Sharing Data",1,"Sharing Data Out",2,"Don?t Remember",2,2,4,8,7,20,14,9,15,8,14,29,15,15,13,14,23,12,12,21,6,,259,,"12-11-2025 15:52:37","complete",1,0,19,19,1,1,1.59,,
214,"base","interview","12-11-2025 15:52:25",1,4,1,1,1,4,2,3,2,2,2,2,3,3,3,4,1,5,3,3,3,3,3,4,3,5,1,5,5,4,4,"22",2,1,4,,,3,,5,4,2,5,5,3,5,5,2,4,5,2,2,3,4,5,4,2,1,1,"IMPORTANT NOTE",2,"HINT",,,1,"CAMERA",1,"PAYMENT",2,"KEINE AHNUNG",1,"LOCATION",1,"LOCATION",,,2,"DATA RIGHTS",1,"CONTACTS",,,,,1,"RIGHTS TO DATA COLLECTION",1,"RIGHTS TO DATA COLLECTION",1,"DATA RIGHTS",2,"KEINE AHNUNG",,,,,2,2,11,16,15,34,14,18,23,10,20,46,52,34,53,15,9,26,22,11,6,,435,,"12-11-2025 15:59:41","complete",1,0,19,19,0,0,0.99,,
218,"base","interview","12-11-2025 16:03:46",1,5,1,1,1,3,2,2,1,1,3,3,1,1,1,5,3,3,4,5,2,4,2,2,3,5,1,5,5,5,4,"23",1,1,1,,,,1,5,3,4,5,5,5,5,5,1,1,4,3,5,5,4,4,1,1,1,1,"Something to pay attention to, note-worthy info",1,"something important",1,"camera",1,"camera",1,"payment processes",2,"no",1,"location data",1,"location",,,,,1,"contacts",1,"contacts",1,"contacts",1,"data rights",1,"rights to data",2,"data protection",,,,,,,2,1,4,13,9,16,8,10,17,8,17,24,25,24,16,12,9,40,10,12,30,10,291,,"12-11-2025 16:09:00","complete",1,0,20,20,0,0,1.49,,
220,"base","interview","12-11-2025 16:11:12",2,4,1,1,2,4,2,4,4,4,5,1,5,4,4,4,2,4,4,3,3,4,2,3,3,5,1,5,4,4,4,"18",1,2,1,,,,2,3,5,1,5,4,4,5,5,3,3,5,3,4,4,4,1,5,3,3,2,"da ist etwas ",1,"etwas besonderes/ bemerkenwertes",,,1,"Kamera",1,"Zahlungsmethode",2,"Geld",1,"Standort",2,"Standortkarte",1,"Datensatz",1,"Datenerhebung ",1,"Kontakte",1,"Kontakte",1,"Kontaktbuch",2,"Datenerhebung ",2,"Datenerhebung",,,1,"Daten schicken",1,"Daten schicken",1,"Daten versenden",2,1,7,22,24,26,9,14,14,13,13,30,34,21,31,18,14,27,21,23,12,29,402,,"12-11-2025 16:17:54","complete",1,0,20,20,0,0,1.03,,
222,"base","interview","12-11-2025 16:55:52",3,2,2,2,2,3,2,3,2,2,4,2,4,3,3,4,3,3,3,3,2,4,2,2,2,2,4,2,2,1,4,"28",2,1,4,,,4,,3,4,3,3,4,2,5,4,3,2,4,4,3,1,2,2,1,1,1,2,"info",2,"insights",1,"camera",1,"camera",2,"card",,,1,"location",1,"location",2,"no clue",,,1,"contacts",2,"social",2,"no clue, maybe user data",,,,,,,,,,,,,2,2,26,21,13,29,20,17,18,20,23,65,74,50,8,17,13,13,12,20,7,,466,,"12-11-2025 17:03:38","complete",1,0,19,19,0,0,1.02,,
223,"base","interview","12-11-2025 17:12:59",1,4,1,1,2,4,3,4,4,5,2,4,3,4,3,3,3,4,5,5,3,4,2,2,2,5,1,5,3,5,4,"21",2,2,4,,,3,,5,2,1,4,5,1,5,4,2,1,5,3,3,2,2,1,5,1,1,1,"something noteworthy ",,,,,1,"camera symbol ",1,"payment method ",,,1,"location ",1,"location data",,,,,1,"contacts ",1,"contacts ",1,"contacts ",,,,,,,2,"I don't remember ",,,,,2,2,8,38,27,42,22,24,31,22,20,74,95,64,28,15,,6,14,7,12,,433,,"12-11-2025 17:22:08","complete",1,0,19,19,0,0,0.97,,
224,"base","interview","12-11-2025 18:04:38",2,5,1,1,2,4,1,4,3,4,3,4,2,2,2,3,2,3,4,5,2,4,2,1,1,5,1,5,1,3,4,"21",1,2,1,,,,2,3,2,5,5,2,5,5,5,3,3,5,3,5,4,3,2,5,3,4,2,"alarming",,,1,"camera use",1,"camera roll",,,1,"transfer money",1,"location",1,"location area",2,"data upload",2,"upload data",1,"contacts",1,"contacts",1,"contacs",1,"data right",1,"data rights",,,1,"send data/ upload data",2,"data upload",1,"uplaod data",2,1,9,15,27,37,16,20,27,11,18,51,64,45,32,12,24,15,34,21,11,88,577,,"12-11-2025 18:14:15","complete",1,0,20,20,0,0,0.83,,
